spbu_id,spbu_name,location,transaction_id,payment_id,payment_type,amount
1,Jakarta,SPBU A,1001,1,debit," 28,500.00 "
1,Jakarta,SPBU B,1002,1,debit," 160,000.00 "
1,Jakarta,SPBU C,1003,2,credit," 180,000.00 "
1,Jakarta,SPBU D,1004,2,credit," 325,000.00 "
1,Jakarta,SPBU A,1005,3,e-wallet," 245,000.00 "
1,Jakarta,SPBU B,1006,1,debit," 135,000.00 "
1,Jakarta,SPBU B,1007,2,credit," 300,000.00 "
1,Jakarta,SPBU B,1008,3,e-wallet," 200,000.00 "
1,Jakarta,SPBU A,1009,2,credit," 110,000.00 "
1,Jakarta,SPBU C,1022,3,e-wallet," 255,000.00 "
1,Jakarta,SPBU A,1023,1,debit," 285,000.00 "
1,Jakarta,SPBU A,1024,2,credit," 315,000.00 "
1,Jakarta,SPBU A,1025,1,debit," 195,000.00 "
4,Kalimantan,SPBU E,1010,3,e-wallet," 30,000.00 "
4,Kalimantan,SPBU F,1011,2,credit," 275,000.00 "
4,Kalimantan,SPBU G,1012,2,credit," 310,000.00 "
4,Kalimantan,SPBU G,1013,1,debit," 295,000.00 "
4,Kalimantan,SPBU G,1014,2,credit," 120,000.00 "
4,Kalimantan,SPBU G,1015,1,debit," 33,000.00 "
4,Kalimantan,SPBU F,1016,3,e-wallet," 325,000.00 "
4,Kalimantan,SPBU G,1017,2,credit," 190,000.00 "
4,Kalimantan,SPBU G,1018,1,debit," 135,000.00 "
4,Kalimantan,SPBU F,1019,1,debit," 330,000.00 "
4,Kalimantan,SPBU G,1020,3,e-wallet," 110,000.00 "
4,Kalimantan,SPBU F,1021,2,credit," 275,000.00 "
2,Banten,SPBU H,1026,3,e-wallet," 31,500.00 "
2,Banten,SPBU I,1027,1,debit," 28,500.00 "
2,Banten,SPBU I,1028,2,credit," 31,000.00 "
2,Banten,SPBU K,1029,2,credit," 31,000.00 "
2,Banten,SPBU J,1030,1,debit," 15,500.00 "
2,Banten,SPBU K,1031,3,e-wallet," 20,000.00 "
2,Banten,SPBU K,1032,1,debit," 140,000.00 "
2,Banten,SPBU K,1033,2,credit," 115,000.00 "
2,Banten,SPBU I,1034,3,e-wallet," 28,500.00 "
2,Banten,SPBU K,1035,1,debit," 34,500.00 "
2,Banten,SPBU K,1036,2,credit," 265,000.00 "
2,Banten,SPBU I,1037,2,credit," 285,000.00 "
2,Banten,SPBU K,1038,3,e-wallet," 255,000.00 "
2,Banten,SPBU I,1039,1,debit," 33,500.00 "
2,Banten,SPBU K,1040,2,credit," 25,000.00 "
2,Banten,SPBU K,1041,1,debit," 255,000.00 "
2,Banten,SPBU K,1042,2,credit," 28,000.00 "
2,Banten,SPBU K,1043,3,e-wallet," 25,500.00 "
2,Banten,SPBU I,1044,1,debit," 140,000.00 "
2,Banten,SPBU K,1045,2,credit," 32,500.00 "
2,Banten,SPBU I,1046,2,credit," 275,000.00 "
2,Banten,SPBU K,1061,1,debit," 28,500.00 "
2,Banten,SPBU J,1062,2,credit," 310,000.00 "
2,Banten,SPBU K,1063,3,e-wallet," 28,500.00 "
2,Banten,SPBU I,1064,2,credit," 305,000.00 "
2,Banten,SPBU K,1065,1,debit," 31,500.00 "
2,Banten,SPBU K,1066,3,e-wallet," 310,000.00 "
2,Banten,SPBU J,1067,2,credit," 30,000.00 "
2,Banten,SPBU I,1068,1,debit," 28,000.00 "
2,Banten,SPBU K,1069,1,debit," 35,000.00 "
2,Banten,SPBU J,1070,3,e-wallet," 31,500.00 "
2,Banten,SPBU K,1071,1,debit," 295,000.00 "
2,Banten,SPBU I,1072,2,credit," 255,000.00 "
2,Banten,SPBU J,1073,2,credit," 26,000.00 "
2,Banten,SPBU J,1074,3,e-wallet," 300,000.00 "
2,Banten,SPBU K,1075,1,debit," 33,000.00 "
2,Banten,SPBU K,1076,1,debit," 27,000.00 "
2,Banten,SPBU K,1077,2,credit," 275,000.00 "
2,Banten,SPBU I,1078,3,e-wallet," 27,000.00 "
2,Banten,SPBU K,1079,1,debit," 260,000.00 "
2,Banten,SPBU J,1080,2,credit," 26,000.00 "
2,Banten,SPBU K,1081,2,credit," 260,000.00 "
2,Banten,SPBU J,1082,1,debit," 26,500.00 "
2,Banten,SPBU K,1083,3,e-wallet," 30,500.00 "
2,Banten,SPBU J,1084,1,debit," 28,500.00 "
2,Banten,SPBU K,1085,3,e-wallet," 265,000.00 "
2,Banten,SPBU K,1086,2,credit," 26,000.00 "
2,Banten,SPBU J,1087,2,credit," 26,000.00 "
2,Banten,SPBU J,1088,1,debit," 32,500.00 "
2,Banten,SPBU J,1089,3,e-wallet," 275,000.00 "
2,Banten,SPBU J,1090,2,credit," 27,500.00 "
2,Banten,SPBU I,1091,1,debit," 34,500.00 "
2,Banten,SPBU J,1092,3,e-wallet," 33,000.00 "
2,Banten,SPBU I,1093,1,debit," 285,000.00 "
2,Banten,SPBU I,1094,2,credit," 280,000.00 "
2,Banten,SPBU I,1095,2,credit," 26,000.00 "
2,Banten,SPBU J,1096,3,e-wallet," 280,000.00 "
2,Banten,SPBU I,1097,1,debit," 32,000.00 "
2,Banten,SPBU I,1098,2,credit," 32,000.00 "
2,Banten,SPBU I,1099,1,debit," 27,000.00 "
2,Banten,SPBU I,1100,2,credit," 30,500.00 "
2,Banten,SPBU I,1101,3,e-wallet," 28,000.00 "
2,Banten,SPBU J,1102,1,debit," 29,500.00 "
2,Banten,SPBU K,1103,2,credit," 280,000.00 "
2,Banten,SPBU J,1104,3,e-wallet," 30,000.00 "
2,Banten,SPBU K,1105,1,debit," 300,000.00 "
2,Banten,SPBU K,1106,2,credit," 29,500.00 "
2,Banten,SPBU I,1107,2,credit," 27,000.00 "
2,Banten,SPBU J,1108,3,e-wallet," 28,000.00 "
2,Banten,SPBU K,1109,1,debit," 295,000.00 "
2,Banten,SPBU I,1110,2,credit," 260,000.00 "
2,Banten,SPBU K,1111,1,debit," 28,000.00 "
2,Banten,SPBU J,1112,3,e-wallet," 300,000.00 "
2,Banten,SPBU I,1113,2,credit," 31,500.00 "
2,Banten,SPBU J,1114,1,debit," 28,000.00 "
2,Banten,SPBU I,1115,1,debit," 295,000.00 "
2,Banten,SPBU J,1116,2,credit," 25,000.00 "
2,Banten,SPBU K,1117,3,e-wallet," 285,000.00 "
2,Banten,SPBU J,1118,1,debit," 33,500.00 "
2,Banten,SPBU I,1119,2,credit," 30,500.00 "
2,Banten,SPBU K,1120,3,e-wallet," 26,000.00 "
2,Banten,SPBU J,1121,1,debit," 31,500.00 "
5,Jawa Tengah,SPBU O,1047,1,debit," 270,000.00 "
5,Jawa Tengah,SPBU P,1048,3,e-wallet," 295,000.00 "
5,Jawa Tengah,SPBU O,1049,1,debit," 270,000.00 "
5,Jawa Tengah,SPBU P,1050,3,e-wallet," 305,000.00 "
5,Jawa Tengah,SPBU O,1051,2,credit," 160,000.00 "
5,Jawa Tengah,SPBU P,1052,2,credit," 250,000.00 "
5,Jawa Tengah,SPBU O,1053,1,debit," 260,000.00 "
5,Jawa Tengah,SPBU P,1054,1,debit," 280,000.00 "
5,Jawa Tengah,SPBU O,1055,3,e-wallet," 315,000.00 "
5,Jawa Tengah,SPBU P,1056,1,debit," 25,000.00 "
5,Jawa Tengah,SPBU O,1057,2,credit," 285,000.00 "
5,Jawa Tengah,SPBU P,1058,3,e-wallet," 305,000.00 "
5,Jawa Tengah,SPBU O,1059,1,debit," 290,000.00 "
5,Jawa Tengah,SPBU P,1060,2,credit," 320,000.00 "
3,Bali,SPBU L,1122,2,credit," 250,000.00 "
3,Bali,SPBU M,1123,2,credit," 295,000.00 "
3,Bali,SPBU N,1124,3,e-wallet," 255,000.00 "
3,Bali,SPBU L,1125,1,debit," 280,000.00 "
3,Bali,SPBU M,1126,2,credit," 31,000.00 "
3,Bali,SPBU L,1127,1,debit," 290,000.00 "
3,Bali,SPBU M,1128,2,credit," 285,000.00 "
3,Bali,SPBU N,1129,3,e-wallet," 325,000.00 "
3,Bali,SPBU L,1130,1,debit," 28,000.00 "
3,Bali,SPBU M,1131,3,e-wallet," 290,000.00 "
3,Bali,SPBU L,1132,2,credit," 255,000.00 "
3,Bali,SPBU M,1133,2,credit," 25,000.00 "
3,Bali,SPBU N,1134,1,debit," 305,000.00 "
3,Bali,SPBU L,1135,1,debit," 285,000.00 "
3,Bali,SPBU M,1136,3,e-wallet," 320,000.00 "
3,Bali,SPBU L,1137,1,debit," 320,000.00 "
6,Sumatera,SPBU R,1138,2,credit," 31,500.00 "
6,Sumatera,SPBU S,1139,3,e-wallet," 270,000.00 "
6,Sumatera,SPBU T,1140,1,debit," 260,000.00 "
6,Sumatera,SPBU R,1141,2,credit," 255,000.00 "
6,Sumatera,SPBU S,1142,1,debit," 335,000.00 "
6,Sumatera,SPBU T,1143,2,credit," 295,000.00 "
6,Sumatera,SPBU R,1144,3,e-wallet," 335,000.00 "
6,Sumatera,SPBU S,1145,2,credit," 31,500.00 "
6,Sumatera,SPBU T,1146,1,debit," 285,000.00 "
6,Sumatera,SPBU R,1147,3,e-wallet," 305,000.00 "
6,Sumatera,SPBU S,1148,2,credit," 32,000.00 "
6,Sumatera,SPBU T,1149,1,debit," 300,000.00 "
6,Sumatera,SPBU S,1150,1,debit," 305,000.00 "
