spbu_id,spbu_name,location,transaction_id,payment_id,payment_type,amount
1,Jakarta,SPBU A,2001,1,debit," Rp160,000.00 "
1,Jakarta,SPBU B,2002,1,debit," Rp180,000.00 "
1,Jakarta,SPBU C,2003,2,credit," Rp180,000.00 "
1,Jakarta,SPBU D,2004,2,credit," Rp325,000.00 "
1,Jakarta,SPBU A,2005,3,e-wallet," Rp245,000.00 "
1,Jakarta,SPBU B,2006,1,debit," Rp135,000.00 "
1,Jakarta,SPBU B,2007,2,credit," Rp300,000.00 "
1,Jakarta,SPBU B,2008,3,e-wallet," Rp200,000.00 "
1,Jakarta,SPBU A,2009,2,credit," Rp110,000.00 "
1,Jakarta,SPBU C,2010,3,e-wallet," Rp255,000.00 "
1,Jakarta,SPBU A,2011,1,debit," Rp285,000.00 "
1,Jakarta,SPBU A,2012,2,credit," Rp200,000.00 "
1,Jakarta,SPBU A,2013,1,debit," Rp195,000.00 "
2,Banten,SPBU K,2014,3,e-wallet," Rp30,000.00 "
2,Banten,SPBU K,2015,2,credit," Rp275,000.00 "
2,Banten,SPBU J,2016,2,credit," Rp310,000.00 "
2,Banten,SPBU I,2017,1,debit," Rp135,000.00 "
2,Banten,SPBU K,2018,2,credit," Rp120,000.00 "
2,Banten,SPBU J,2019,1,debit," Rp33,000.00 "
2,Banten,SPBU K,2020,3,e-wallet," Rp325,000.00 "
2,Banten,SPBU I,2021,2,credit," Rp190,000.00 "
4,Kalimantan,SPBU G,2022,1,debit," Rp135,000.00 "
4,Kalimantan,SPBU F,2023,1,debit," Rp330,000.00 "
4,Kalimantan,SPBU G,2024,3,e-wallet," Rp110,000.00 "
4,Kalimantan,SPBU F,2025,2,credit," Rp275,000.00 "
2,Banten,SPBU H,2026,3,e-wallet," Rp31,500.00 "
2,Banten,SPBU I,2027,1,debit," Rp28,500.00 "
2,Banten,SPBU I,2028,2,credit," Rp31,000.00 "
2,Banten,SPBU K,2029,2,credit," Rp115,000.00 "
2,Banten,SPBU J,2030,1,debit," Rp15,500.00 "
2,Banten,SPBU K,2031,3,e-wallet," Rp20,000.00 "
2,Banten,SPBU K,2032,1,debit," Rp140,000.00 "
2,Banten,SPBU K,2033,2,credit," Rp115,000.00 "
2,Banten,SPBU I,2034,3,e-wallet," Rp28,500.00 "
2,Banten,SPBU K,2035,1,debit," Rp34,500.00 "
4,Kalimantan,SPBU G,2036,2,credit," Rp265,000.00 "
4,Kalimantan,SPBU F,2037,2,credit," Rp285,000.00 "
4,Kalimantan,SPBU G,2038,3,e-wallet," Rp140,000.00 "
4,Kalimantan,SPBU F,2039,1,debit," Rp33,500.00 "
2,Banten,SPBU K,2040,2,credit," Rp25,000.00 "
2,Banten,SPBU K,2041,1,debit," Rp255,000.00 "
2,Banten,SPBU K,2042,2,credit," Rp28,000.00 "
2,Banten,SPBU K,2043,3,e-wallet," Rp25,500.00 "
2,Banten,SPBU I,2044,1,debit," Rp140,000.00 "
